Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295-185640,QB,Dresser,Dresser Winn,Winn,0,1,6000,LAR@CHI,LAR,CHI,,,,,,QB
107295-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,9.137499809265137,8,6000,LAR@CHI,LAR,CHI,,,,,,QB
107295-27986,QB,C.J.,C.J. Beathard,Beathard,3.576666514078776,6,6000,JAC@HOU,JAC,HOU,Q,Groin,,,,QB
107295-103824,QB,Easton,Easton Stick,Stick,9.794285365513392,7,6000,KC@LAC,LAC,KC,,,,,,QB
107295-73118,QB,Ian,Ian Book,Book,,0,6000,KC@LAC,KC,LAC,,,,,,QB
107295-60840,QB,Jake,Jake Browning,Browning,12.578333536783854,12,6000,CIN@CAR,CIN,CAR,,,,,,QB
107295-185776,QB,Tyson,Tyson Bagent,Bagent,11.851999664306641,5,6000,LAR@CHI,CHI,LAR,,,,,,QB
107295-91583,QB,Stetson,Stetson Bennett,Bennett,,0,6000,LAR@CHI,LAR,CHI,,,,,,QB
107295-40407,QB,Joshua,Joshua Dobbs,Dobbs,16.204615666316105,13,6000,NE@SF,SF,NE,,,,,,QB
107295-89607,QB,Tanner,Tanner McKee,McKee,0,1,6000,PHI@TB,PHI,TB,,,,,,QB
107295-60947,QB,Jarrett,Jarrett Stidham,Stidham,9.213333129882812,3,6000,DEN@NYJ,DEN,NYJ,,,,,,QB
107295-89628,QB,Davis,Davis Mills,Mills,3.1600000858306885,1,6000,JAC@HOU,HOU,JAC,,,,,,QB
107295-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@ARI,WAS,ARI,,,,,,QB
107295-30253,QB,Jeff,Jeff Driskel,Driskel,7.96999979019165,2,6000,WAS@ARI,WAS,ARI,,,,,,QB
107295-112191,QB,John Rhys,John Rhys Plumlee,Plumlee,,0,6000,JAC@HOU,JAC,HOU,,,,,,QB
107295-40534,QB,Mike,Mike White,White,0.43714284896850586,7,6000,BUF@BAL,BUF,BAL,,,,,,QB
107295-128693,RB,Tank,Tank Bigsby,Bigsby,4.099999904632568,2,6000,JAC@HOU,JAC,HOU,Q,Shoulder,,,,RB/FLEX
107295-93878,QB,Devin,Devin Leary,Leary,,0,6000,BUF@BAL,BAL,BUF,,,,,,QB
107295-73398,QB,Chris,Chris Oladokun,Oladokun,,0,6000,KC@LAC,KC,LAC,,,,,,QB
107295-69304,QB,Kyle,Kyle Trask,Trask,-0.20000000298023224,1,6000,PHI@TB,TB,PHI,,,,,,QB
107295-52929,QB,Jake,Jake Luton,Luton,,0,6000,CIN@CAR,CAR,CIN,Q,Shoulder,,,,QB
107295-69333,QB,Jacob,Jacob Eason,Eason,,0,6000,MIN@GB,GB,MIN,,,,,,QB
107295-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,-0.09000000357627869,2,6000,BUF@BAL,BUF,BAL,,,,,,QB
107295-61157,QB,Brett,Brett Rypien,Rypien,2.890000104904175,2,6000,MIN@GB,MIN,GB,,,,,,QB
